"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetFindReplaceTarget.findAndSelect(int offset, String findString, boolean searchForward, boolean caseSensitive, boolean wholeWord, boolean regExSearch)",101,34,39,4,6
"org.jkiss.dbeaver.model.sql.parser.SQLScriptParser.extractQueryAtPos(SQLParserContext context, int currentPos)",121,33,40,11,2
"org.jkiss.dbeaver.model.virtual.DBVModelSerializerLegacy.serializeEntity(XMLBuilder xml, DBVEntity entity)",131,33,127,8,2
"org.jkiss.dbeaver.ext.postgresql.PostgreUtils.getDisplaySize(long oid, int typmod)",87,33,0,7,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreProcedure.loadInfo(DBRProgressMonitor monitor, ResultSet dbResult)",150,33,72,5,2
"org.jkiss.dbeaver.ui.controls.resultset.plaintext.PlainTextPresentation.printGrid(boolean append)",117,33,70,4,1
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCNumberValueHandler.bindParameter(JDBCSession session, JDBCPreparedStatement statement, DBSTypedObject paramType, int paramIndex, Object value)",105,33,61,4,5
"org.jkiss.dbeaver.ui.editors.binary.HexEditControl$ControlKeyAdapter.keyPressed(KeyEvent e)",72,33,19,4,1
"org.jkiss.dbeaver.model.sql.SQLUtils.getConstraintCondition(@NotNull DBPDataSource dataSource, @NotNull DBDAttributeConstraint constraint, @Nullable String conditionTable, boolean inlineCriteria)",100,32,63,7,4
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid.handleHoverOnColumnHeader(int x, int y)",121,32,19,6,2
"org.jkiss.dbeaver.ext.postgresql.PostgreValueParser.parseArrayString(String fieldString, String delimiter)",118,32,24,6,2
"org.jkiss.dbeaver.model.navigator.DBNDatabaseNode.loadChildren(DBRProgressMonitor monitor, final DBXTreeNode meta, final DBNDatabaseNode[] oldList, final List<DBNDatabaseNode> toList, Object source, boolean reflect)",114,32,45,6,6
"org.jkiss.dbeaver.model.navigator.DBNProjectDatabases.handleDataSourceEvent(DBPEvent event)",123,32,53,5,1
"org.jkiss.dbeaver.ui.editors.binary.HexEditControl.doNavigateKeyPressed(boolean ctrlKey, int keyCode, long oldPos, boolean countNibbles)",67,32,11,4,4
"org.jkiss.dbeaver.ui.editors.sql.SQLEditor.createResultTabs()",222,31,71,8,0
"org.jkiss.dbeaver.registry.DataSourceDescriptor.connect(DBRProgressMonitor monitor, boolean initialize, boolean reflect)",210,31,84,7,3
"org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob.run(DBRProgressMonitor monitor)",139,31,44,7,1
"org.jkiss.dbeaver.model.impl.data.ExecuteBatchImpl.processBatch(@NotNull DBCSession session, @Nullable List<DBEPersistAction> actions, Map<String,Object> options)",137,31,44,7,3
"org.jkiss.utils.csv.CSVParser.parseLine(String nextLine, boolean multi)",105,31,29,6,2
"org.jkiss.dbeaver.model.impl.edit.AbstractCommandContext.executeCommands(DBRProgressMonitor monitor, Map<String,Object> options, DBCTransactionManager txnManager)",139,30,31,10,3
"org.jkiss.dbeaver.ext.generic.model.meta.GenericMetaModel.loadProcedures(DBRProgressMonitor monitor, @NotNull GenericObjectContainer container)",159,30,68,8,2
"org.jkiss.dbeaver.runtime.net.GlobalProxyAuthenticator.getPasswordAuthentication()",77,30,64,8,0
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel.updateMetaData(@NotNull DBDAttributeBinding[] newAttributes)",70,30,26,8,1
"org.jkiss.dbeaver.model.exec.DBExecUtils.getBestIdentifier(@NotNull DBRProgressMonitor monitor, @NotNull DBSEntity table, DBDAttributeBinding[] bindings, boolean readMetaData)",97,30,23,7,4
"org.jkiss.dbeaver.registry.driver.DriverDescriptor.validateFilesPresence(boolean resetVersions)",131,30,34,6,1
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectCreateNew.addDatabaseNodeCreateItems(@Nullable IWorkbenchPartSite site, List<IContributionItem> createActions, DBNDatabaseNode node)",90,30,52,6,3
"org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid.handleCellHover(int x, int y)",82,30,26,6,2
"org.jkiss.dbeaver.registry.DataSourceRegistry.loadDataSources(boolean refresh)",81,30,45,6,1
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.SpreadsheetPresentation$ContentProvider.getCellValue(Object colElement, Object rowElement, boolean formatString, boolean lockData)",67,30,31,6,4
"org.jkiss.dbeaver.ui.gis.panel.GISLeafletViewer.generateViewScript(DBGeometry[] values, @Nullable Bounds bounds)",140,30,54,5,2
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDialect.getColumnTypeModifiers(@NotNull DBPDataSource dataSource, @NotNull DBSTypedObject column, @NotNull String typeName, @NotNull DBPDataKind dataKind)",59,30,11,3,4
"org.jkiss.dbeaver.ui.editors.sql.QueryResultsContainer$SQLEditorQueryListener.processQueryResult(DBRProgressMonitor monitor, SQLQueryResult result, DBCStatistics statistics)",78,29,52,8,3
"org.jkiss.dbeaver.erd.model.ERDUtils.collectDatabaseTables(DBRProgressMonitor monitor, DBSObject root, ERDDiagram diagram, boolean showViews, boolean showPartitions)",122,29,53,7,5
