"method","loc","cyclo","calls","nbd","param"
"org.jkiss.dbeaver.ui.data.managers.AbstractTextPanelEditor$AutoFormatAction.run()",6,1,5,5,0
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$JobCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OracleSchema owner)",6,1,4,5,2
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema.getChildren(@NotNull DBRProgressMonitor monitor)",6,1,4,5,1
"org.jkiss.dbeaver.runtime.properties.ObjectPropertyDescriptor.equals(Object obj)",6,1,4,5,1
"org.jkiss.dbeaver.ui.navigator.dialogs.ObjectBrowserDialog.createContents(Composite parent)",6,1,4,5,1
"org.jkiss.dbeaver.runtime.properties.PropertySourceCustom.removeAll()",6,1,4,5,0
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard.saveDialogSettings()",6,1,4,5,0
"org.jkiss.dbeaver.registry.maven.MavenArtifact.MavenArtifact(@NotNull MavenRepository repository, @NotNull String groupId, @NotNull String artifactId, @Nullable String classifier)",6,1,3,5,4
"org.jkiss.dbeaver.ext.generic.model.ForeignKeysCache.prepareObjectsStatement(JDBCSession session, GenericStructContainer owner, GenericTableBase forParent)",6,1,3,5,3
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createStatement(int resultSetType, int resultSetConcurrency, int resultSetHoldability)",6,1,3,5,3
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareCall(String sql, int resultSetType, int resultSetConcurrency)",6,1,3,5,3
"org.jkiss.dbeaver.model.impl.sql.edit.SQLStructEditor$StructCreateCommand.getPersistActions(DBRProgressMonitor monitor, DBCExecutionContext executionContext, Map<String,Object> options)",6,1,3,5,3
"org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter.showMessageBox(String title, String message, int style)",6,1,3,5,3
"org.jkiss.dbeaver.model.impl.AbstractExecutionContext.AbstractExecutionContext(@NotNull DATASOURCE dataSource, String purpose)",6,1,3,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareStatement(String sql, String[] columnNames)",6,1,3,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareStatement(String sql, int autoGeneratedKeys)",6,1,3,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareStatement(String sql, int[] columnIndexes)",6,1,3,5,2
"org.jkiss.dbeaver.ui.notifications.AbstractNotificationPopup.getColor(@NotNull ResourceManager manager, RGB rgb)",6,1,3,5,2
"org.jkiss.dbeaver.ext.mssql.model.SQLServerDataSource.refreshObject(@NotNull DBRProgressMonitor monitor)",6,1,3,5,1
"org.jkiss.dbeaver.ext.oceanbase.mysql.model.OceanbaseMySQLCatalog.refreshObject(@NotNull DBRProgressMonitor monitor)",6,1,3,5,1
"org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizardPageFinal.PostgreFDWConfigWizardPageFinal(PostgreFDWConfigWizard wizard)",6,1,3,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareCall(String sql)",6,1,3,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.prepareStatement(String sql)",6,1,3,5,1
"org.jkiss.dbeaver.ui.ImageUtils.getImageDataAtCurrentZoom(Image image)",6,1,3,5,1
"org.jkiss.dbeaver.ui.editors.data.VirtualStructureEditor.createColumnsPage(Composite parent)",6,1,3,5,1
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema.isSystem()",6,1,3,5,0
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreBackupWizardPageObjects.activatePage()",6,1,3,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createStatement()",6,1,3,5,0
"org.jkiss.dbeaver.ui.controls.PropertyPageStandard.dispose()",6,1,3,5,0
"org.jkiss.dbeaver.ui.data.managers.ContentValueManager.contributeActions(@NotNull IContributionManager manager, @NotNull final IValueController controller, @Nullable IValueEditor activeEditor)",6,1,2,5,3
"org.jkiss.dbeaver.ui.editors.object.struct.AttributesSelectorPage.AttributesSelectorPage(String title, DBSEntity entity)",6,1,2,5,2
"org.jkiss.dbeaver.erd.ui.part.PropertyAwarePart.handleReorderChange(PropertyChangeEvent evt)",6,1,2,5,1
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema.refreshObject(@NotNull DBRProgressMonitor monitor)",6,1,2,5,1
"org.jkiss.dbeaver.ext.postgresql.tools.fdw.PostgreFDWConfigWizard.PostgreFDWConfigWizard(PostgreDatabase database)",6,1,2,5,1
"org.jkiss.dbeaver.tools.transfer.ui.registry.DataTransferNodeConfiguratorDescriptor.DataTransferNodeConfiguratorDescriptor(IConfigurationElement config)",6,1,2,5,1
"org.jkiss.dbeaver.ui.editors.data.VirtualStructureEditor.createPartControl(Composite parent)",6,1,2,5,1
"org.jkiss.dbeaver.ui.navigator.itemlist.ItemListControl.createLoadService(boolean forUpdate)",6,1,2,5,1
"org.jkiss.dbeaver.ui.notifications.AbstractNotificationPopup.configureShell(Shell newShell)",6,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getMetaData()",6,1,2,5,0
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageLoadSettings.activatePage()",6,1,2,5,0
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$ForeignKeyCache.fetchObject(JDBCSession session, OracleSchema owner, OracleTable parent, String indexName, JDBCResultSet dbResult)",6,1,1,5,5
"org.jkiss.dbeaver.ext.firebird.model.FireBirdDataSource.planQueryExecution(@NotNull DBCSession session, @NotNull String query, @NotNull DBCQueryPlannerConfiguration configuration)",6,1,1,5,3
"org.jkiss.dbeaver.ext.mysql.model.plan.MySQLPlanNodeJSON.MySQLPlanNodeJSON(MySQLPlanNodeJSON parent, String name, JsonObject object)",6,1,1,5,3
"org.jkiss.dbeaver.model.sql.parser.rules.ScriptParameterRule.ScriptParameterRule(SQLSyntaxManager syntaxManager, SQLParameterToken parameterToken, String prefix)",6,1,1,5,3
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard.openWizard(@NotNull IWorkbenchWindow workbenchWindow, @Nullable Collection<IDataTransferProducer<?>> producers, @Nullable Collection<IDataTransferConsumer<?,?>> consumers)",6,1,1,5,3
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectOpen.openEntityEditor(DBNNode selectedNode, @Nullable String defaultPageId, IWorkbenchWindow workbenchWindow)",6,1,1,5,3
"org.jkiss.dbeaver.model.impl.jdbc.cache.JDBCObjectLookupCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OWNER owner)",6,1,1,5,2
"org.jkiss.dbeaver.ui.views.session.SessionTable.createLoadService(boolean forUpdate)",6,1,1,5,1
"org.jkiss.dbeaver.ext.firebird.model.FireBirdTableColumn.getDescription()",6,1,1,5,0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreProcedure.getDescription()",6,1,1,5,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.getName()",6,1,1,5,0
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$ConstraintCache.fetchObject(JDBCSession session, OracleSchema owner, OracleTableBase parent, String indexName, JDBCResultSet dbResult)",6,1,0,5,5
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$IndexCache.fetchObject(JDBCSession session, OracleSchema owner, OracleTablePhysical parent, String indexName, JDBCResultSet dbResult)",6,1,0,5,5
"org.jkiss.dbeaver.erd.ui.command.NoteCreateCommand.NoteCreateCommand(DiagramPart diagram, ERDNote note, Point location, Dimension size)",6,1,0,5,4
"org.jkiss.dbeaver.erd.ui.editor.ERDEditorEmbedded.createPartControl(Composite parent)",6,1,0,5,1
"org.jkiss.dbeaver.ext.db2.editors.DB2StructureAssistant.isTable(@Nullable DB2ObjectType objectType)",6,1,0,5,1
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getPrimaryChildType(@Nullable DBRProgressMonitor monitor)",6,1,0,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getPrimaryChildType(@Nullable DBRProgressMonitor monitor)",6,1,0,5,1
"org.jkiss.dbeaver.erd.ui.editor.ERDGraphicalViewer.getValidationHandler()",6,1,0,5,0
"org.jkiss.dbeaver.ext.db2.model.DB2Schema.getDescription()",6,1,0,5,0
"org.jkiss.dbeaver.ext.db2.model.DB2Schema.getName()",6,1,0,5,0
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getName()",6,1,0,5,0
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getName()",6,1,0,5,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerExtensionBase.supportsTemporalAccessor()",6,1,0,5,0
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableForeignKey.getDeleteRule()",6,1,0,5,0
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableForeignKey.getReferencedConstraint()",6,1,0,5,0
"org.jkiss.dbeaver.model.impl.jdbc.struct.JDBCTableForeignKey.getUpdateRule()",6,1,0,5,0
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseConsumerPageMapping.updateUpAndDownButtons(@NotNull DataTransferPipe pipeFromCurrentSelection)",5,1,7,5,1
"org.jkiss.dbeaver.ui.gis.registry.GeometryViewerRegistry.autoAssignDefaultLeafletTiles()",5,1,7,5,0
"org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterHTML.writeTableTitle(String value, int columns)",5,1,6,5,2
"org.jkiss.dbeaver.tools.transfer.stream.exporter.DataExporterHTML.exportHeader(DBCSession session)",5,1,6,5,1
"org.jkiss.dbeaver.runtime.properties.PropertySourceAbstract.removeProperty(DBPPropertyDescriptor prop)",5,1,5,5,1
"org.jkiss.dbeaver.ui.app.standalone.ApplicationActionBarAdvisor.bindImage(CommandImageService cis, String commandId, DBIcon icon)",5,1,4,5,3
"org.jkiss.dbeaver.ui.editors.object.struct.AttributesSelectorPage.fillAttributeColumns(DBSEntityAttribute attribute, AttributeInfo attributeInfo, TableItem columnItem)",5,1,4,5,3
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy.getLine(IDocument document, int line)",5,1,4,5,2
"org.jkiss.dbeaver.ext.firebird.model.FireBirdMetaModel.isSystemTable(GenericTableBase table)",5,1,4,5,1
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.PostgreServerRedshift.configureDialect(PostgreDialect dialect)",5,1,4,5,1
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenEditor.openNewEditor(ExecutionEvent event)",5,1,4,5,1
"org.jkiss.dbeaver.model.impl.AbstractExecutionContext.closeContext()",5,1,4,5,0
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.Spreadsheet.hookAccessibility()",5,1,4,5,0
"org.jkiss.dbeaver.ui.controls.resultset.spreadsheet.Spreadsheet.refreshData(boolean refreshColumns, boolean keepState, boolean fitValue)",5,1,3,5,3
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableBase.getAttribute(@NotNull DBRProgressMonitor monitor, @NotNull String attributeName)",5,1,3,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource$TablespaceCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OracleDataSource owner)",5,1,3,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource$UserCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OracleDataSource owner)",5,1,3,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createStatement(int resultSetType, int resultSetConcurrency)",5,1,3,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleTablePhysical.refreshObject(@NotNull DBRProgressMonitor monitor)",5,1,3,5,1
"org.jkiss.dbeaver.ui.app.standalone.ApplicationWorkbenchAdvisor.isPropertyChangeRequiresRestart(String property)",5,1,3,5,1
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog$BadDriverConfigDialog.createButtonsForButtonBar(Composite parent)",5,1,3,5,1
"org.jkiss.dbeaver.ui.editors.object.struct.AttributesSelectorPage.setEntity(DBSEntity entity)",5,1,3,5,1
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerOpenEditor.openEditor(ExecutionEvent event)",5,1,3,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getDefaultValueHandler()",5,1,3,5,0
"org.jkiss.dbeaver.model.impl.sql.edit.SQLStructEditor$StructCreateCommand.resetAggregatedCommands()",5,1,3,5,0
"org.jkiss.dbeaver.runtime.properties.PropertySourceAbstract.clearProperties()",5,1,3,5,0
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTasksTree.refresh()",5,1,3,5,0
"org.jkiss.dbeaver.tools.transfer.ui.pages.database.DatabaseProducerPageInputObjects.DatabaseProducerPageInputObjects()",5,1,3,5,0
"org.jkiss.dbeaver.tools.transfer.ui.wizard.DataTransferWizard.getWizardDialogSettings()",5,1,3,5,0
"org.jkiss.dbeaver.runtime.properties.ObjectPropertyDescriptor.getPluginResourceBundle(Bundle bundle, Class<?> ownerClass, String language)",5,1,2,5,3
"org.jkiss.dbeaver.ui.controls.resultset.virtual.EditVirtualEntityDialog.EditVirtualEntityDialog(ResultSetViewer viewer, @Nullable DBSEntity entity, @NotNull DBVEntity vEntity)",5,1,2,5,3
"org.jkiss.dbeaver.ext.db2.model.DB2DataSource.DB2DataSource(DBRProgressMonitor monitor, DBPDataSourceContainer container)",5,1,2,5,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataTypeCache.loadObjects(DBRProgressMonitor monitor, PostgreSchema schema)",5,1,2,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createArrayOf(String typeName, Object[] elements)",5,1,2,5,2
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createStruct(String typeName, Object[] attributes)",5,1,2,5,2
"org.jkiss.dbeaver.tools.project.ProjectExportWizard.init(IWorkbench workbench, IStructuredSelection selection)",5,1,2,5,2
"org.jkiss.dbeaver.ext.mysql.model.MySQLTrigger.getFullyQualifiedName(DBPEvaluationContext context)",5,1,2,5,1
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreBackupWizardPageObjects.PostgreBackupWizardPageObjects(PostgreBackupWizard wizard)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.getDriverInstance(@NotNull DBRProgressMonitor monitor)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getClientInfo(String name)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.isValid(int timeout)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.isWrapperFor(Class<?> iface)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.nativeSQL(String sql)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.setCatalog(String catalog)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.setHoldability(int holdability)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.setReadOnly(boolean readOnly)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.setTransactionIsolation(int level)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.setTypeMap(Map<String,Class<?>> map)",5,1,2,5,1
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.unwrap(Class<T> iface)",5,1,2,5,1
"org.jkiss.dbeaver.runtime.properties.PropertySourceCustom.resetPropertyValueToDefault(String id)",5,1,2,5,1
"org.jkiss.dbeaver.tasks.ui.sql.script.SQLScriptTaskPageSettings.SQLScriptTaskPageSettings(SQLScriptTaskConfigurationWizard wizard)",5,1,2,5,1
"org.jkiss.dbeaver.tools.transfer.database.DatabaseMappingAttribute.setTransformerProperties(Map<String,Object> properties)",5,1,2,5,1
"org.jkiss.dbeaver.ui.controls.resultset.virtual.EditVirtualEntityDialog.createButtonsForButtonBar(Composite parent)",5,1,2,5,1
"org.jkiss.dbeaver.ui.dialogs.driver.DriverEditDialog.createContents(Composite parent)",5,1,2,5,1
"org.jkiss.dbeaver.erd.ui.part.DiagramPart.changeLayout()",5,1,2,5,0
"org.jkiss.dbeaver.ext.generic.model.ForeignKeysCache.clearCache()",5,1,2,5,0
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema.isSystem()",5,1,2,5,0
"org.jkiss.dbeaver.ext.oracle.data.OracleContentBFILE.release()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.clearWarnings()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createBlob()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createClob()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createNClob()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.createSQLXML()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getAutoCommit()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getCatalog()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getClientInfo()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getHoldability()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getSchema()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getTransactionIsolation()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getTypeMap()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getWarnings()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.isClosed()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.isReadOnly()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl.addBatch()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl.clearParameters()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl.getMetaData()",5,1,2,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCPreparedStatementImpl.getParameterMetaData()",5,1,2,5,0
"org.jkiss.dbeaver.tools.transfer.DataTransferSettings.clearDataPipes()",5,1,2,5,0
"org.jkiss.dbeaver.ui.editors.xml.XMLReconcilingStrategy.initialReconcile()",5,1,2,5,0
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema$TableCache.fetchChild(@NotNull JDBCSession session, @NotNull SQLServerSchema owner, @NotNull SQLServerTableBase table, @NotNull JDBCResultSet dbResult)",5,1,1,5,4
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$TableCache.fetchChild(@NotNull JDBCSession session, @NotNull OracleSchema owner, @NotNull OracleTableBase table, @NotNull JDBCResultSet dbResult)",5,1,1,5,4
"org.jkiss.dbeaver.ext.generic.model.ForeignKeysCache.cacheChildren(DBRProgressMonitor monitor, GenericTableForeignKey foreignKey, List<GenericTableForeignKeyColumnTable> rows)",5,1,1,5,3
"org.jkiss.dbeaver.ext.mssql.model.SQLServerSchema$ForeignKeyCache.cacheChildren(DBRProgressMonitor monitor, SQLServerTableForeignKey foreignKey, List<SQLServerTableForeignKeyColumn> rows)",5,1,1,5,3
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog$SequenceCache.fetchObject(@NotNull JDBCSession session, @NotNull MySQLCatalog mySQLCatalog, @NotNull JDBCResultSet resultSet)",5,1,1,5,3
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$DBLinkCache.fetchObject(@NotNull JDBCSession session, @NotNull OracleSchema owner, @NotNull JDBCResultSet dbResult)",5,1,1,5,3
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema$ForeignKeyCache.cacheChildren(DBRProgressMonitor monitor, OracleTableForeignKey foreignKey, List<OracleTableForeignKeyColumn> rows)",5,1,1,5,3
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema$AggregateCache.fetchObject(@NotNull JDBCSession session, @NotNull PostgreSchema owner, @NotNull JDBCResultSet dbResult)",5,1,1,5,3
"org.jkiss.dbeaver.ext.postgresql.model.PostgreSchema.PostgreSchema(PostgreDatabase database, String name, ResultSet dbResult)",5,1,1,5,3
"org.jkiss.dbeaver.ui.search.metadata.SearchMetadataQuery.SearchMetadataQuery(@NotNull DBPDataSource dataSource, @NotNull DBSStructureAssistant<?> structureAssistant, @NotNull DBSStructureAssistant.ObjectsSearchParams params)",5,1,1,5,3
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getChild(@NotNull DBRProgressMonitor monitor, @NotNull String childName)",5,1,1,5,2
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getProcedure(DBRProgressMonitor monitor, String procName)",5,1,1,5,2
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableBase.MySQLTableBase(MySQLCatalog catalog, ResultSet dbResult)",5,1,1,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource$ProfileCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OracleDataSource owner)",5,1,1,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleDataSource$RoleCache.prepareObjectsStatement(@NotNull JDBCSession session, @NotNull OracleDataSource owner)",5,1,1,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getMaterializedView(DBRProgressMonitor monitor, String name)",5,1,1,5,2
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getSynonym(DBRProgressMonitor monitor, String name)",5,1,1,5,2
"org.jkiss.dbeaver.ext.postgresql.model.PostgreDataSource.cacheStructure(@NotNull DBRProgressMonitor monitor, int scope)",5,1,1,5,2
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.JDBCDataSource(@NotNull DBPDataSourceContainer container, @NotNull SQLDialect dialect)",5,1,1,5,2
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.resolveDataType(@NotNull DBRProgressMonitor monitor, @NotNull String typeFullName)",5,1,1,5,2
"org.jkiss.dbeaver.ui.editors.sql.plan.ExplainPlanViewer.explainQueryPlan(SQLQuery query, Object queryId)",5,1,1,5,2
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerObjectBase$NodeLoader.NodeLoader(DBNModel model, Collection<? extends Object> objects)",5,1,1,5,2
"org.jkiss.dbeaver.ui.views.session.SessionTable$KillSessionsService.KillSessionsService(List<SESSION_TYPE> sessions, Map<String,Object> options)",5,1,1,5,2
"org.jkiss.dbeaver.ui.views.session.SessionTable.createAlterService(List<SESSION_TYPE> sessions, Map<String,Object> options)",5,1,1,5,2
"org.jkiss.dbeaver.ext.db2.model.DB2Schema.getProcedures(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getChildren(@NotNull DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getPackages(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.mysql.model.MySQLCatalog.getViews(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getDataTypes(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getDatabaseLinks(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getIndexes(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getJavaClasses(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getMaterializedViews(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getPackages(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getProcedures(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getQueues(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getRecycledObjects(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getSchedulerJobs(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getSchedulerPrograms(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getSequences(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getSynonyms(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getTableTriggers(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getTables(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getTriggers(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleSchema.getViews(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.oracle.model.OracleTablePhysical.getTablespace(DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.vertica.model.VerticaSchema.getChildren(@NotNull DBRProgressMonitor monitor)",5,1,1,5,1
"org.jkiss.dbeaver.ext.firebird.model.FireBirdTableColumn.getDefaultValue()",5,1,1,5,0
"org.jkiss.dbeaver.ext.firebird.model.FireBirdTableColumn.getTypeName()",5,1,1,5,0
"org.jkiss.dbeaver.ext.mysql.model.MySQLTrigger.getDataSource()",5,1,1,5,0
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.PostgreServerRedshift.supportsRoles()",5,1,1,5,0
"org.jkiss.dbeaver.model.impl.jdbc.JDBCDataSource.getDescription()",5,1,1,5,0
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCConnectionImpl.getDataSource()",5,1,1,5,0
"org.jkiss.dbeaver.model.navigator.DBNProjectDatabases.getName()",5,1,1,5,0
"org.jkiss.dbeaver.model.sql.data.SQLQueryDataContainer.getParentObject()",5,1,1,5,0
"org.jkiss.dbeaver.ui.data.editors.CursorViewComposite$CursorDataContainer.getDescription()",5,1,1,5,0
"org.jkiss.dbeaver.ui.data.editors.CursorViewComposite$CursorDataContainer.getName()",5,1,1,5,0
"org.jkiss.dbeaver.ui.dialogs.connection.ConnectionWizard.getDefaultPageImage()",5,1,1,5,0
"org.jkiss.dbeaver.ui.editors.sql.indent.SQLCommentAutoIndentStrategy$LineBreakIterator.first()",5,1,1,5,0
