"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ui.controls.resultset.ResultSetStatListener",56,4,4,12,8,1,1,4,2,0.8333333333333334
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLTokenAdapter",56,4,3,21,7,3,1,5,1,1.0
"org.jkiss.dbeaver.ui.dialogs.exec.ExecutionQueueErrorDialog",56,3,1,5,6,2,1,3,1,1.0
"org.jkiss.dbeaver.ui.data.managers.StringValueManager",56,2,2,18,13,11,4,12,1,1.0
"org.jkiss.dbeaver.team.git.ui.handlers.GITHistoryHandler",56,1,1,6,15,2,0,3,0,0.0
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerAssociateScript",56,1,1,9,21,9,0,10,0,0.0
"org.jkiss.dbeaver.ui.controls.lightgrid.IGridContentProvider",55,22,22,22,6,1,0,2,9,0.8095238095238095
"org.jkiss.utils.MimeType",55,10,9,17,1,0,17,2,2,0.9444444444444444
"org.jkiss.dbeaver.model.impl.data.ProxyValueHandler",55,10,10,10,6,2,8,3,1,1.0
"org.jkiss.dbeaver.ext.firebird.model.FireBirdSQLDialect",55,9,8,9,7,5,1,6,3,1.125
"org.jkiss.dbeaver.runtime.LocalFileStorage",55,8,8,8,10,3,1,7,2,0.9285714285714286
"org.jkiss.dbeaver.ext.db2.model.DB2View",55,7,7,7,12,7,2,9,2,0.9166666666666666
"org.jkiss.dbeaver.ext.generic.model.GenericSynonym",55,7,6,7,9,4,3,8,3,0.8333333333333334
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTableConstraintColumn",55,7,7,7,4,1,3,2,3,0.8333333333333334
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTableInheritance",55,7,7,7,10,5,3,7,2,0.9166666666666666
"org.jkiss.dbeaver.model.impl.jdbc.JDBCStructureAssistant",55,7,5,9,12,6,5,8,1,1.0
"org.jkiss.dbeaver.ui.net.ssh.jsch.JSCHUIPromptProvider",55,7,6,10,8,4,1,7,2,0.9166666666666666
"org.jkiss.dbeaver.registry.datatype.AttributeTransformerDescriptor",55,7,7,8,9,6,1,9,6,0.75
"org.jkiss.dbeaver.ext.generic.model.GenericView",55,6,6,9,13,9,14,12,2,0.9
"org.jkiss.dbeaver.ext.oracle.model.OracleTableTrigger",55,6,6,9,9,2,6,3,3,0.8
"org.jkiss.dbeaver.ui.help.GitHubWikiHelpUI",55,6,5,10,6,3,0,6,2,0.9
"org.jkiss.dbeaver.ext.test.ui.TestDialog",55,6,4,3,8,4,1,5,2,0.9
"org.jkiss.dbeaver.ext.athena.AthenaDataSourceProvider",55,5,5,9,17,15,0,18,1,1.0
"org.jkiss.dbeaver.model.impl.net.SocksProxyImpl",55,5,3,8,15,12,0,17,2,0.875
"org.jkiss.dbeaver.ext.db2.ui.editors.DB2RoutineDDLEditor",55,4,2,2,13,3,0,4,0,0.0
"org.jkiss.dbeaver.ui.editors.sql.syntax.SQLHyperlinkDetector",55,4,4,8,14,5,1,6,2,0.8333333333333334
"org.jkiss.dbeaver.tasks.ui.ToolsPropertyTester",55,3,2,14,9,6,0,8,2,0.75
"org.jkiss.dbeaver.ui.editors.sql.preferences.format.SQLExternalFormatterConfigurationPage",55,3,2,3,11,9,1,10,3,0.5
"org.jkiss.dbeaver.ui.editors.sql.convert.impl.SourceCodeSQLConverter",55,2,1,7,10,6,3,11,4,0.0
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerCreateFolder",55,2,1,5,17,7,0,8,0,0.0
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerFilterObjectType",55,2,2,6,16,6,0,8,0,0.0
"org.jkiss.dbeaver.ext.mysql.ui.config.MySQLConstraintConfigurator",55,1,1,6,11,11,0,12,0,0.0
"org.jkiss.dbeaver.ui.controls.resultset.IResultSetPresentation",54,21,21,20,9,1,7,1,3,0.95
"org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugBreakpointDescriptor",54,9,9,9,6,3,3,7,5,0.75
"org.jkiss.dbeaver.registry.DataSourceOriginLocal",54,9,8,9,8,3,2,5,2,1.0625
"org.jkiss.dbeaver.ext.mssql.edit.SQLServerDataTypeManager",54,8,5,8,16,12,0,13,0,0.0
"org.jkiss.dbeaver.ext.oracle.edit.OracleQueueManager",54,8,3,9,15,12,0,13,0,0.0
"org.jkiss.dbeaver.ui.properties.PropertySourceDelegate",54,8,8,11,6,4,4,5,1,1.0
"org.jkiss.dbeaver.erd.ui.export.ERDExportFormatRegistry",54,7,5,9,8,3,2,5,7,0.5714285714285714
"org.jkiss.dbeaver.ext.db2.model.DB2PackageStatement",54,7,7,7,6,2,0,4,5,0.6666666666666666
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTableUniqueKeyColumn",54,7,7,7,5,2,2,3,3,0.8333333333333334
"org.jkiss.dbeaver.ext.mysql.model.MySQLParameter",54,7,7,7,5,2,1,4,5,0.6666666666666666
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableConstraintColumn",54,7,7,7,5,2,5,3,3,0.8333333333333334
"org.jkiss.dbeaver.ext.oracle.model.lock.OracleLockItem",54,7,7,7,4,2,1,5,6,0.5833333333333334
"org.jkiss.dbeaver.ext.oracle.model.OracleTableConstraintColumn",54,7,7,7,5,2,5,3,3,0.8333333333333334
"org.jkiss.dbeaver.model.sql.registry.SQLInsertReplaceMethodRegistry",54,7,5,14,5,0,2,2,3,1.0
"org.jkiss.dbeaver.tasks.nativetool.AbstractImportExportSettings",54,7,7,11,8,7,5,8,3,0.8333333333333334
"org.jkiss.dbeaver.erd.ui.command.AssociationReconnectSourceCommand",54,6,6,11,4,2,1,3,4,0.7
"org.jkiss.dbeaver.ext.oceanbase.mysql.model.OceanbaseMySQLDatabaseManager",54,6,2,6,12,10,0,13,0,0.0
"org.jkiss.dbeaver.ui.ProgramInfo",54,6,6,12,8,2,2,4,4,0.9
"org.jkiss.dbeaver.ext.db2.ui.editors.DB2TablespaceChooser",54,5,3,6,10,3,1,5,2,0.875
"org.jkiss.dbeaver.ext.hive.model.HiveDataSource",54,5,3,9,16,11,1,14,2,1.125
"org.jkiss.dbeaver.ui.notifications.NotificationPopupMessage",54,5,2,10,10,4,0,5,3,0.75
"org.jkiss.dbeaver.ui.editors.entity.GlobalContributorManager",54,5,4,10,7,1,1,2,4,1.125
"org.jkiss.dbeaver.ui.dashboard.view.DashboardItemViewDialog",54,4,1,4,13,8,2,9,3,0.6666666666666666
"org.jkiss.dbeaver.ui.editors.DatabaseEditorInputFactory",54,4,4,10,7,4,0,6,9,0.0
"org.jkiss.dbeaver.ui.controls.resultset.panel.grouping.GroupingConfigDialog",54,4,1,5,13,6,1,8,4,0.5
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorInputFactory",54,4,4,7,13,2,0,4,3,0.6666666666666666
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCUUIDValueHandler",54,3,2,12,10,6,1,9,1,1.5
"org.jkiss.dbeaver.ext.postgresql.ui.config.PostgreIndexConfigurator",54,2,1,1,13,12,0,15,0,0.0
"org.jkiss.dbeaver.ui.controls.imageview.ImageActionDelegate",54,2,2,12,5,2,5,4,7,0.0
"org.jkiss.dbeaver.model.qm.meta.QMMStatementInfo",53,9,9,9,2,1,1,1,4,0.8125
"org.jkiss.dbeaver.debug.ui.details.DatabaseBreakpointEditor",53,8,6,9,7,2,1,4,3,0.8571428571428571
"org.jkiss.dbeaver.model.virtual.DBVEntityForeignKeyColumn",53,8,8,9,7,6,3,7,4,0.7857142857142857
"org.jkiss.dbeaver.erd.ui.policy.EntityConnectionEditPolicy",53,7,0,7,9,5,2,7,0,0.0
"org.jkiss.dbeaver.ext.db2.model.DB2TableKeyColumn",53,7,7,7,5,2,2,3,3,0.8333333333333334
"org.jkiss.dbeaver.ext.db2.model.DB2TablespaceContainer",53,7,7,7,5,2,1,2,5,0.6666666666666666
"org.jkiss.dbeaver.ext.oracle.model.OraclePrivTable",53,6,6,8,7,4,1,5,4,0.7
"org.jkiss.dbeaver.ui.dialogs.BaseTitleDialog",53,6,4,7,10,2,0,3,1,1.0
"org.jkiss.dbeaver.ui.editors.json.JSONScanner",53,6,5,6,8,2,1,7,0,0.0
"org.jkiss.dbeaver.ext.db2.manager.DB2ForeignKeyManager",53,5,4,5,14,10,0,14,3,1.0
"org.jkiss.dbeaver.ext.firebird.model.FireBirdView",53,5,5,9,15,11,2,17,2,0.875
"org.jkiss.dbeaver.ext.db2.tasks.DB2ToolWithStatus",53,4,4,6,15,10,4,15,1,1.0
"org.jkiss.dbeaver.ext.mssql.tasks.SQLServerToolWithStatus",53,4,4,6,15,10,3,15,1,1.0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreToolWithStatus",53,4,4,6,15,10,6,15,1,1.0
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCAbstractValueHandler",53,4,2,5,14,11,12,13,1,1.0
"org.jkiss.dbeaver.registry.DataSourceViewRegistry",53,4,3,15,6,1,3,2,3,1.0
"org.jkiss.dbeaver.ui.dialogs.driver.ViewClasspathDialog",53,4,1,5,11,2,1,4,0,0.0
"org.jkiss.dbeaver.ui.editors.sql.templates.SQLObjectResolver",53,4,2,7,14,9,2,12,1,1.0
"org.jkiss.dbeaver.debug.ui.internal.DebugUIEventListener",53,3,1,9,10,3,1,5,1,1.0
"org.jkiss.dbeaver.ext.mysql.data.MySQLNumberValueHandler",53,3,2,9,12,7,1,9,0,0.0
"org.jkiss.dbeaver.ui.editors.text.TextEditorPropertyTester",53,3,3,15,5,3,0,5,5,0.0
"org.jkiss.dbeaver.ext.generic.views.GenericTableIndexConfigurator",53,2,1,1,13,12,0,15,0,0.0
"org.jkiss.utils.ByteNumberFormatTest",53,2,2,2,2,0,0,0,5,0.0
"org.jkiss.dbeaver.ui.ProxyWorkbenchPart",52,11,11,11,5,0,0,1,1,1.0
"org.jkiss.dbeaver.ext.generic.model.GenericDataSourceInfo",52,8,8,8,5,5,3,6,6,0.6428571428571429
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreBackupRestoreSettings",52,8,8,8,7,6,3,7,5,0.7142857142857143
"org.jkiss.dbeaver.ext.postgresql.debug.internal.impl.PostgreDebugObjectDescriptor",52,8,8,8,3,1,0,4,5,0.7142857142857143
"org.jkiss.dbeaver.ext.postgresql.tools.PostgreScriptExecuteWizard",52,8,7,8,13,9,2,10,1,1.0
"org.jkiss.dbeaver.model.exec.DBCException",52,8,8,11,3,2,326,3,2,0.9285714285714286
"org.jkiss.dbeaver.ext.db2.model.app.DB2ServerApplicationManager",52,6,6,6,11,8,2,11,2,1.1
"org.jkiss.dbeaver.ext.exasol.model.cache.ExasolDataTypeCache",52,6,4,7,11,8,1,9,2,1.2
"org.jkiss.dbeaver.ext.exasol.ui.config.ExasolRoleDialog",52,6,4,5,11,2,1,4,2,0.9
"org.jkiss.dbeaver.ext.mssql.edit.generic.SQLServerGenericTriggerManager",52,6,3,8,15,12,0,13,0,0.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTableRegular",52,6,6,9,9,4,3,8,2,1.2
"org.jkiss.dbeaver.ui.editors.object.struct.EntityEditPage",52,6,5,5,14,6,10,7,2,0.9
"org.jkiss.dbeaver.ext.db2.manager.DB2SchemaManager",52,5,2,5,15,12,0,14,2,1.25
"org.jkiss.dbeaver.ext.firebird.model.plan.FireBirdPlanAnalyser",52,5,5,5,11,8,1,10,4,0.625
"org.jkiss.dbeaver.ext.postgresql.model.impls.redshift.RedshiftSchema",52,4,4,8,12,9,1,10,1,1.0
"org.jkiss.dbeaver.ext.postgresql.tasks.PostgreNativeToolHandler",52,4,2,11,11,8,3,13,1,1.0
"org.jkiss.dbeaver.ui.actions.datasource.NewConnectionDriverSelectorContributor",52,3,2,7,12,6,0,8,3,0.5
"org.jkiss.dbeaver.ext.oracle.data.OracleXMLValueHandler",52,3,2,9,10,7,1,11,1,1.5
"org.jkiss.dbeaver.ext.postgresql.sql.PostgreEscapeStringRule",52,3,3,14,2,0,1,3,1,1.5
"org.jkiss.dbeaver.tasks.ui.nativetool.AbstractNativeExportWizard",52,3,1,10,10,7,2,8,0,0.0
"org.jkiss.dbeaver.ui.data.managers.UUIDValueManager",52,3,3,6,11,9,0,11,0,0.0
"org.jkiss.dbeaver.ext.test.tools.IconRenamer",52,3,2,9,2,0,0,5,0,0.0
"org.jkiss.dbeaver.ext.db2.ui.config.DB2ForeignKeyConfigurator",52,2,1,1,13,10,0,11,1,1.0
"org.jkiss.dbeaver.ext.exasol.ui.config.ExasolPrimaryKeyConfigurator",52,2,1,1,14,11,0,12,1,1.0
"org.jkiss.dbeaver.model.connection.DBPDriverLibrary",51,22,22,22,7,2,18,2,1,1.0
"org.jkiss.dbeaver.ext.postgresql.model.impls.PostgreServerPostgreSQL",51,11,11,11,3,3,4,5,1,1.0
"org.jkiss.dbeaver.model.connection.DBPConfigurationProfile",51,11,11,13,3,1,2,1,4,0.9
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTypedObject",51,9,9,9,2,1,1,2,6,0.6875
"org.jkiss.dbeaver.model.net.ssh.config.SSHAuthConfiguration",51,8,7,8,5,1,8,1,4,0.7857142857142857
"org.jkiss.dbeaver.ui.contentassist.StyledTextContentAdapter",51,8,8,9,6,0,1,3,0,0.0
"org.jkiss.dbeaver.registry.functions.AggregateFunctionDescriptor",51,8,8,8,6,5,2,6,8,0.5
"org.jkiss.dbeaver.erd.ui.figures.RoundedLineBorder",51,7,7,10,5,0,0,1,3,0.8333333333333334
"org.jkiss.dbeaver.model.impl.jdbc.exec.JDBCFakeStatementImpl",51,7,7,8,4,3,1,4,2,0.9166666666666666
"org.jkiss.dbeaver.ui.editors.SinglePageDatabaseEditor",51,7,6,10,6,2,2,4,1,1.0
"org.jkiss.dbeaver.ui.views.qm.QueryManagerView",51,6,6,6,8,4,1,6,2,0.9
"org.jkiss.dbeaver.tools.transfer.DataTransferPipe",51,6,6,10,3,2,8,2,2,0.9
"org.jkiss.dbeaver.erd.ui.figures.EditableLabel",51,6,4,7,7,2,4,4,1,1.0
"org.jkiss.dbeaver.model.impl.sql.edit.struct.SQLTriggerManager",51,6,1,7,14,11,5,13,0,0.0
"org.jkiss.dbeaver.debug.ui.internal.DebugConfigurationPanelRegistry",51,5,4,11,6,1,2,1,2,1.125
"org.jkiss.dbeaver.erd.ui.command.AssociationReconnectTargetCommand",51,5,5,10,4,2,1,3,4,0.625
"org.jkiss.dbeaver.ext.oracle.edit.OracleTableTriggerManager",51,5,2,7,16,11,0,13,0,0.0
"org.jkiss.dbeaver.registry.language.PlatformLanguageRegistry",51,5,4,11,6,0,3,0,2,1.0
"org.jkiss.dbeaver.registry.WorkbenchHandlerRegistry",51,4,2,7,9,4,2,5,6,0.27777777777777785
"org.jkiss.dbeaver.debug.core.DatabaseLaunchDelegate",51,4,1,6,15,8,0,10,0,0.0
"org.jkiss.dbeaver.ext.ui.tipoftheday.TipsXmlHandler",51,4,4,12,7,1,1,4,8,0.0
"org.jkiss.dbeaver.ui.navigator.actions.node.NNAHDataSourceTunnel",51,4,4,10,13,12,0,14,0,0.0
"org.jkiss.dbeaver.ui.navigator.database.DatabaseNavigatorToolTipSupport",51,4,1,11,8,3,1,4,1,1.0
"org.jkiss.dbeaver.ui.editors.entity.EntityEditorPropertyTester",51,3,3,11,5,3,0,5,5,0.0
"org.jkiss.dbeaver.tools.transfer.ui.handlers.DataTransferHandler",51,2,1,8,15,6,2,8,0,0.0
"org.jkiss.dbeaver.ext.postgresql.debug.core.PostgreSqlDebugCore",51,2,2,6,11,10,3,12,1,1.0
"org.jkiss.dbeaver.model.sql.generator.SQLGeneratorJoin",51,2,2,11,5,4,0,6,0,0.0
"org.jkiss.dbeaver.model.sql.parser.rules.ScriptVariableRule",51,2,2,14,5,5,0,7,1,1.0
"org.jkiss.dbeaver.model.DBInfoUtils",51,1,1,7,10,6,0,7,0,0.0
"org.jkiss.dbeaver.model.sql.generator.SQLGeneratorMerge",51,1,1,10,8,7,0,9,0,0.0
"org.jkiss.dbeaver.model.sql.generator.SQLGeneratorUpdate",51,1,1,10,10,8,0,10,0,0.0
"org.jkiss.dbeaver.ui.controls.resultset.generator.SQLGeneratorSelectManyFromData",51,1,1,15,9,6,0,8,0,0.0
"org.jkiss.dbeaver.ui.controls.lightgrid.GridPos",50,9,9,10,2,1,16,4,2,0.9375
"org.jkiss.dbeaver.model.navigator.meta.DBXTreeObject",50,8,8,8,4,2,6,3,3,0.8571428571428571
"org.jkiss.dbeaver.ui.editors.sql.registry.SQLPresentationPanelDescriptor",50,8,8,8,6,5,2,6,7,0.5714285714285714
"org.jkiss.dbeaver.ext.phoenix.model.PhoenixMetaModel",50,7,7,8,15,11,0,14,1,1.0
"org.jkiss.dbeaver.runtime.jobs.DataSourceJob",50,7,6,5,9,6,10,8,1,1.0
"org.jkiss.dbeaver.ext.db2.model.DB2MaterializedQueryTable",50,6,6,6,12,7,2,9,2,0.9
"org.jkiss.dbeaver.ext.generic.edit.GenericPrimaryKeyManager",50,6,4,6,10,7,1,8,0,0.0
"org.jkiss.dbeaver.ext.oracle.model.OracleProcedurePackaged",50,6,6,7,7,3,2,6,1,1.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreOperatorFamily",50,6,5,6,7,3,1,5,5,0.6
"org.jkiss.dbeaver.registry.functions.FunctionsRegistry",50,6,4,11,5,0,2,2,3,0.9333333333333333
"org.jkiss.dbeaver.debug.sourcelookup.DatabaseNavigatorSourceContainer",50,5,3,6,14,9,1,10,2,0.875
"org.jkiss.dbeaver.ext.generic.edit.GenericIndexManager",50,5,4,5,12,10,1,11,0,0.0
"org.jkiss.dbeaver.ext.postgresql.ui.config.PostgreExplainPlanConfigurator",50,5,3,3,14,7,0,9,1,1.0
"org.jkiss.dbeaver.model.runtime.load.AbstractLoadService",50,5,3,8,8,6,10,7,3,0.75
"org.jkiss.dbeaver.ui.editors.DatabaseNodeEditorInput",50,5,5,9,8,6,2,10,0,0.0
"org.jkiss.dbeaver.ui.actions.GlobalPropertyTester",50,5,5,13,5,3,1,7,4,0.625
"org.jkiss.dbeaver.ui.navigator.database.load.TreeNodeLazyExpander",50,5,5,8,8,6,2,9,3,0.75
"org.jkiss.dbeaver.ui.dialogs.connection.EditConnectionPermissionsDialog",50,4,2,7,11,4,2,5,2,1.1666666666666667
"org.jkiss.dbeaver.ui.resources.bookmarks.DBNBookmarkFolder",50,4,4,11,13,7,1,8,0,0.0
"org.jkiss.dbeaver.tools.transfer.ui.registry.DataTransferConfiguratorRegistry",50,4,3,11,7,1,2,2,4,0.5833333333333334
"org.jkiss.dbeaver.ext.clickhouse.model.ClickhouseDataSource",50,3,2,4,15,10,1,13,2,1.25
"org.jkiss.dbeaver.ext.db2.i.model.DB2IMetaModel",50,3,3,5,13,12,0,13,1,1.0
"org.jkiss.dbeaver.ext.oracle.ui.editors.OracleEditorUtils",50,3,2,1,13,3,0,3,0,0.0
"org.jkiss.dbeaver.runtime.encode.ContentEncrypter",50,3,3,3,13,1,2,3,4,0.25
"org.jkiss.dbeaver.ui.actions.datasource.DataSourceCommitHandler",50,2,2,6,14,9,1,11,0,0.0
"org.jkiss.dbeaver.ui.actions.datasource.DataSourceRollbackHandler",50,2,2,6,14,9,1,11,0,0.0
"org.jkiss.dbeaver.ui.controls.resultset.colors.SetRowColorAction",50,2,2,3,13,8,1,9,3,0.0
"org.jkiss.dbeaver.ext.oracle.data.OracleValueHandlerProvider",50,1,1,16,9,7,0,9,0,0.0
"org.jkiss.dbeaver.model.app.DBPWorkspace",49,22,22,22,12,4,11,5,0,0.0
"org.jkiss.dbeaver.model.DBIconComposite",49,12,12,12,0,0,2,1,3,0.9090909090909091
"org.jkiss.dbeaver.runtime.ui.UIServiceSQL",49,12,12,12,12,8,19,8,0,0.0
"org.jkiss.dbeaver.tools.transfer.stream.StreamDataImporterColumnInfo",49,9,9,9,6,3,3,5,3,0.875
"org.jkiss.dbeaver.model.navigator.DBNEmptyNode",49,9,9,9,2,2,2,3,0,0.0
"org.jkiss.dbeaver.ext.import_config.wizards.ImportData",49,8,8,12,3,1,6,2,3,1.0952380952380953
"org.jkiss.dbeaver.model.struct.DBSDocumentConstraint",49,8,8,8,7,3,0,5,1,1.0
"org.jkiss.dbeaver.tasks.ui.view.DatabaseTaskTransfer",49,8,5,8,6,2,1,6,5,0.8285714285714285
"org.jkiss.dbeaver.ui.UIStyles",49,8,8,12,10,2,21,3,2,0.9285714285714286
"org.jkiss.dbeaver.ui.data.dialogs.CursorViewDialog",49,8,7,9,7,3,1,4,1,1.0
"org.jkiss.dbeaver.ext.exasol.model.ExasolVirtualSchemaParameter",49,7,7,7,4,2,0,3,4,0.75
"org.jkiss.dbeaver.model.data.storage.StreamContentStorage",49,7,7,7,8,4,1,6,1,1.0
"org.jkiss.dbeaver.model.net.ssh.DBeaverAuthAgent",49,7,2,8,6,0,1,2,3,0.8333333333333334
"org.jkiss.dbeaver.tools.project.ProjectExportData",49,6,6,6,9,4,1,4,8,0.45
"org.jkiss.dbeaver.erd.ui.editor.ERDPalettePreferences",49,6,6,8,3,1,1,2,4,0.9
"org.jkiss.dbeaver.ext.db2.model.security.DB2AuthPackage",49,6,6,6,10,8,1,9,3,0.8
"org.jkiss.dbeaver.ext.db2.model.security.DB2AuthSchema",49,6,6,6,9,7,1,8,3,0.8
"org.jkiss.dbeaver.ext.db2.model.security.DB2RoleAuth",49,6,6,6,8,4,1,5,3,0.8
"org.jkiss.dbeaver.ext.generic.model.GenericUniqueKey",49,6,6,14,7,3,8,4,1,1.0
"org.jkiss.dbeaver.ext.oracle.ui.editors.OracleSourceDeclarationEditor",49,6,1,8,9,6,0,9,1,1.2
"org.jkiss.dbeaver.ext.oracle.edit.OracleSchemaManager",49,5,2,6,17,14,0,15,0,0.0
"org.jkiss.dbeaver.ext.oracle.model.OracleDBLink",49,5,4,7,8,5,1,5,4,0.625
"org.jkiss.dbeaver.ext.snowflake.views.SnowflakeConnectionPageAdvanced",49,5,5,6,11,5,1,7,1,1.0
"org.jkiss.dbeaver.ui.navigator.database.DefaultNavigatorNodeRenderer",49,5,5,9,11,6,2,7,0,0.0
"org.jkiss.dbeaver.ext.greenplum.edit.GreenplumTableManager",49,4,2,6,18,14,1,17,0,0.0
"org.jkiss.dbeaver.registry.DataSourcePreferenceStore",49,4,4,7,11,8,2,13,1,1.0
"org.jkiss.dbeaver.ui.internal.registry.NavigatorExtensionsRegistry",49,4,4,7,13,6,2,7,3,0.888888888888889
"org.jkiss.dbeaver.ext.h2.model.H2DataSource",49,3,1,9,11,8,2,10,3,0.5
"org.jkiss.dbeaver.model.impl.DBObjectNameCaseTransformer",49,3,3,10,9,6,49,8,0,0.0
"org.jkiss.dbeaver.ui.notifications.NotificationUtils",49,3,3,5,5,3,1,4,2,1.25
"org.jkiss.dbeaver.ui.editors.sql.templates.SQLContainerResolver",49,3,1,10,11,8,2,12,4,0.25
"org.jkiss.dbeaver.ext.phoenix.model.data.PhoenixArrayValueHandler",49,2,1,8,12,8,1,12,2,1.0
"org.jkiss.dbeaver.runtime.SecurityProviderUtils",49,2,1,8,3,1,1,4,4,0.0
"org.jkiss.dbeaver.model.sql.parser.rules.SQLMultiWordRule",49,2,2,15,5,4,2,7,2,0.5
"org.jkiss.dbeaver.ext.sqlite.SQLiteUtils",49,1,1,7,9,8,1,9,1,0.0
"org.jkiss.dbeaver.erd.ui.ERDUIConstants",49,0,0,1,2,1,20,1,44,0.0
"org.jkiss.dbeaver.model.app.DBPProject",48,23,23,23,10,4,110,6,2,0.9772727272727273
"org.jkiss.dbeaver.model.runtime.BaseProgressMonitor",48,10,9,10,3,0,1,1,1,1.1111111111111112
"org.jkiss.dbeaver.model.runtime.VoidProgressMonitor",48,10,10,10,3,0,136,1,1,1.1111111111111112
"org.jkiss.dbeaver.ui.editors.sql.preferences.format.BaseFormatterConfigurationPage",48,10,9,10,5,3,3,6,3,0.8888888888888888
"org.jkiss.dbeaver.ui.dialogs.BaseDialog",48,8,6,9,6,2,64,3,2,0.9285714285714286
"org.jkiss.dbeaver.ui.editors.sql.registry.SQLTargetConverterDescriptor",48,8,8,8,8,5,2,6,6,0.6904761904761906
"org.jkiss.dbeaver.ext.generic.model.GenericDataType",48,7,7,7,6,2,4,3,0,0.0
"org.jkiss.dbeaver.ext.greenplum.model.GreenplumFunction",48,7,5,9,7,6,7,9,3,0.8333333333333334
"org.jkiss.dbeaver.erd.ui.figures.NoteFigure",48,6,6,8,9,3,3,4,1,1.0
"org.jkiss.dbeaver.ext.mssql.edit.SQLServerSynonymManager",48,6,3,6,15,11,0,12,0,0.0
"org.jkiss.dbeaver.ext.postgresql.model.data.type.PostgreTimeTypeHandler",48,5,3,12,5,3,1,6,1,1.25
"org.jkiss.dbeaver.model.sql.parser.rules.SQLVariableRule",48,4,4,9,7,6,2,8,2,0.8333333333333334
"org.jkiss.dbeaver.registry.PluginServiceRegistry",48,4,2,6,9,4,1,5,5,0.4666666666666666
"org.jkiss.dbeaver.ui.editors.text.DatabaseMarkerAnnotationModel",48,4,1,5,9,5,1,7,6,0.3333333333333333
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerSeparateConnectionOption",48,4,3,7,15,7,0,10,0,0.0
"org.jkiss.dbeaver.erd.ui.command.NoteCreateCommand",48,3,3,10,7,3,1,4,4,0.25
"org.jkiss.dbeaver.ext.mysql.edit.MySQLTriggerManager",48,3,1,7,17,13,0,14,0,0.0
"org.jkiss.dbeaver.ext.exasol.ui.config.ExasolForeignKeyConfigurator",48,2,1,1,11,9,0,10,1,1.0
"org.jkiss.dbeaver.ui.app.standalone.actions.ResetWorkspaceStateAction",48,2,2,6,13,5,1,8,1,1.0
"org.jkiss.dbeaver.ui.navigator.actions.NavigatorHandlerConnectionFilter",48,2,2,7,16,7,0,9,0,0.0
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerDeleteCurrentFile",48,1,1,7,15,6,0,7,0,0.0
"org.jkiss.dbeaver.model.task.DBTScheduler",47,10,10,10,5,2,2,2,21,0.6031746031746033
"org.jkiss.dbeaver.debug.ui.DatabaseLaunchContributionFactory",47,8,6,9,8,0,0,2,3,0.8571428571428571
"org.jkiss.dbeaver.ext.mysql.tasks.MySQLToolTableRepairSettings",47,8,8,8,6,4,1,6,3,0.8571428571428571
"org.jkiss.dbeaver.model.DBFetchProgress",47,8,8,11,3,3,1,5,4,0.7857142857142857
"org.jkiss.dbeaver.registry.DriverCategoryDescriptor",47,8,8,8,4,3,2,4,6,0.6428571428571429
"org.jkiss.dbeaver.ext.db2.manager.DB2AbstractDropOnlyManager",47,7,3,7,11,9,17,11,0,0.0
"org.jkiss.dbeaver.ext.exasol.model.ExasolTableKeyColumn",47,7,7,7,6,3,2,4,3,0.8333333333333334
"org.jkiss.dbeaver.ext.oracle.ui.tools.OracleScriptExecuteWizard",47,7,6,7,13,9,2,10,1,1.0
"org.jkiss.dbeaver.tools.registry.ToolGroupDescriptor",47,7,6,9,7,6,2,7,5,0.6666666666666666
"org.jkiss.dbeaver.ext.db2.model.security.DB2AuthColumn",47,5,5,8,9,7,1,9,3,0.75
"org.jkiss.dbeaver.model.impl.data.DateTimeValueHandler",47,5,5,8,8,5,1,8,1,1.0
"org.jkiss.dbeaver.ui.controls.CustomNumberCellEditor",47,5,1,10,8,3,0,4,1,1.0
"org.jkiss.dbeaver.ui.resources.ProjectHandlerImpl",47,4,4,7,10,7,0,8,0,0.0
"org.jkiss.dbeaver.model.sql.generator.SQLGeneratorBase",47,4,0,12,8,5,3,8,0,0.0
