"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jkiss.dbeaver.ui.preferences.PrefPageConnectionsGeneral",102,11,8,12,20,9,0,14,5,0.8
"org.jkiss.dbeaver.ui.OverlayImageDescriptorLegacy",102,11,5,31,4,0,1,2,5,0.8
"org.jkiss.dbeaver.ext.exasol.manager.ExasolRoleManager",102,10,3,15,22,19,0,23,0,0.0
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLEditorHandlerGoToMatchingBracket",102,6,1,24,12,3,0,7,0,0.0
"org.jkiss.dbeaver.ui.gis.panel.GISBrowserViewer",102,5,4,15,24,18,0,20,2,0.875
"org.jkiss.dbeaver.erd.ui.action.ERDHandlerDelete",102,5,5,21,29,11,0,15,0,0.0
"org.jkiss.dbeaver.ext.oracle.model.OracleSequence",101,17,17,17,7,3,3,4,7,0.8125
"org.jkiss.dbeaver.model.navigator.DBNDatabaseFolder",101,16,14,19,15,9,14,13,1,1.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreCollation",101,15,14,16,9,4,1,6,9,0.7142857142857143
"org.jkiss.dbeaver.ext.exasol.model.ExasolTableUniqueKey",101,14,14,17,17,9,3,14,3,0.9230769230769231
"org.jkiss.dbeaver.ui.editors.sql.SQLEditorOutputViewer",101,14,13,12,17,3,0,6,3,0.9230769230769231
"org.jkiss.dbeaver.ext.mysql.model.MySQLTableIndexColumn",101,12,12,14,7,4,3,5,6,0.7727272727272727
"org.jkiss.dbeaver.tools.compare.simple.ui.CompareObjectsPageOutput",101,8,7,6,12,4,1,5,3,0.8571428571428571
"org.jkiss.dbeaver.ext.db2.model.cache.DB2IndexCache",101,5,2,12,16,13,0,15,4,0.875
"org.jkiss.dbeaver.ext.db2.model.cache.DB2TableCheckConstraintCache",101,5,1,8,16,9,0,11,2,0.875
"org.jkiss.dbeaver.ext.db2.model.cache.DB2TableForeignKeyCache",101,5,1,8,14,8,0,10,2,0.875
"org.jkiss.dbeaver.ext.sample.database.WorkbenchInitializerCreateSampleDatabase",101,4,1,15,19,15,0,20,6,0.16666666666666666
"org.jkiss.dbeaver.ui.actions.datasource.DataSourceAutoCommitHandler",101,3,2,16,26,16,0,18,0,0.0
"org.jkiss.dbeaver.data.office.ui.handlers.OpenSpreadsheetHandler",101,2,1,5,27,16,0,20,0,0.0
"org.jkiss.dbeaver.model.impl.AbstractSimpleDataSource",100,17,17,17,15,9,1,14,4,0.96875
"org.jkiss.dbeaver.registry.network.NetworkHandlerDescriptor",100,16,16,17,16,9,7,12,12,0.6333333333333333
"org.jkiss.dbeaver.ui.editors.sql.util.SQLAnnotationHover",100,9,8,19,14,2,2,10,4,0.84375
"org.jkiss.dbeaver.ui.notifications.DatabaseNotificationSink",100,8,3,9,12,1,1,3,7,0.8775510204081632
"org.jkiss.dbeaver.ext.athena.ui.views.AthenaConnectionPage",100,7,7,15,19,9,0,11,4,0.75
"org.jkiss.dbeaver.model.impl.data.transformers.NumericAttributeTransformer",100,7,6,19,17,11,0,21,5,0.6666666666666666
"org.jkiss.dbeaver.ext.mssql.ui.config.SQLServerIndexConfigurator",100,6,2,14,21,14,0,17,3,0.8
"org.jkiss.dbeaver.ext.sqlite.model.data.SQLiteGeometryValueHandler",100,4,2,4,19,9,1,11,3,1.0
"org.jkiss.dbeaver.ui.DialogSettingsDelegate",99,20,20,24,2,1,4,2,1,1.0
"org.jkiss.dbeaver.tools.transfer.database.DatabaseProducerSettings",99,18,18,19,7,6,4,9,10,0.7352941176470589
"org.jkiss.dbeaver.ext.exasol.model.ExasolPriorityGroup",99,14,14,15,12,7,6,11,7,0.8461538461538461
"org.jkiss.dbeaver.ext.mssql.model.SQLServerTableIndexColumn",99,12,12,14,7,4,3,7,6,0.7727272727272727
"org.jkiss.dbeaver.ui.dialogs.ActiveWizard",99,11,1,24,10,1,2,3,1,1.1
"org.jkiss.dbeaver.ext.db2.model.DB2TableReference",99,10,10,12,20,13,0,16,6,0.7222222222222222
"org.jkiss.dbeaver.ext.mysql.edit.MySQLViewManager",99,9,2,13,20,16,0,19,0,0.0
"org.jkiss.dbeaver.ext.postgresql.edit.PostgreRoleManager",99,9,3,22,21,17,0,21,0,0.0
"org.jkiss.dbeaver.ui.editors.sql.variables.AssignVariableAction",99,9,6,7,18,10,2,11,8,0.5625
"org.jkiss.dbeaver.ext.exasol.manager.ExasolForeignKeyManager",99,8,2,10,21,17,0,20,0,0.0
"org.jkiss.dbeaver.ext.import_config.wizards.custom.ConfigImportWizardPageCustomConnections",99,5,0,14,18,11,1,16,0,0.0
"org.jkiss.dbeaver.ext.db2.tasks.DB2RunstatsToolSettings",98,15,15,26,9,6,1,11,6,0.8214285714285714
"org.jkiss.dbeaver.ui.dialogs.driver.DriverDownloadDialog",98,13,8,19,13,6,3,8,3,0.9166666666666666
"org.jkiss.dbeaver.ui.editors.sql.handlers.SQLNavigatorContext",98,13,13,24,10,8,15,10,4,0.875
"org.jkiss.dbeaver.ui.dialogs.EditTextDialog",98,11,7,18,7,1,8,3,6,0.75
"org.jkiss.dbeaver.ui.OverlayImageDescriptor",98,11,5,31,3,0,1,2,3,0.9
"org.jkiss.dbeaver.ext.clickhouse.model.ClickhouseMetaModel",98,10,9,16,17,11,0,15,0,0.0
"org.jkiss.dbeaver.ext.mssql.edit.SQLServerTableManager",98,8,2,16,18,12,0,15,1,1.0
"org.jkiss.dbeaver.ui.editors.binary.HexStatusLine",98,8,7,19,8,1,0,6,5,0.7142857142857143
"org.jkiss.dbeaver.ext.db2.model.plan.DB2PlanAnalyser",98,7,6,11,12,8,1,14,9,0.7777777777777777
"org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageSettings",98,7,4,21,14,10,2,12,4,0.75
"org.jkiss.dbeaver.ext.informix.InformixUtils",98,6,6,12,13,11,1,15,1,1.0
"org.jkiss.dbeaver.ui.navigator.actions.links.CreateLinkHandler",98,6,1,12,25,2,2,4,1,1.2
"org.jkiss.dbeaver.ui.navigator.NavigatorStatePersistor",98,6,2,22,15,10,2,13,2,0.9
"org.jkiss.dbeaver.ext.sqlite.edit.SQLiteTableColumnManager",98,5,3,8,20,15,0,20,0,0.0
"org.jkiss.dbeaver.model.impl.jdbc.data.handlers.JDBCObjectValueHandler",98,5,3,19,19,14,3,17,2,1.0
"org.jkiss.dbeaver.utils.PrefUtils",98,5,5,45,6,3,47,6,1,1.0
"org.jkiss.dbeaver.ext.import_config.wizards.ImportDriverInfo",97,21,21,21,4,0,5,2,8,0.88125
"org.jkiss.dbeaver.ext.wmi.model.WMIDataSourceInfo",97,19,19,19,4,2,1,3,0,0.0
"org.jkiss.dbeaver.ext.postgresql.model.PostgreTableColumn",97,15,14,22,18,12,11,17,1,1.0
"org.jkiss.dbeaver.ui.controls.CustomComboBoxCellEditor",97,12,5,23,12,4,3,7,1,1.0
"org.jkiss.dbeaver.ext.db2.model.DB2Variable",97,11,11,12,14,7,2,7,9,0.6
"org.jkiss.dbeaver.ext.mysql.model.MySQLPrivilege",97,11,11,16,11,5,5,8,10,0.82
"org.jkiss.dbeaver.ui.dialogs.driver.DriverDownloadManualPage",97,9,8,9,13,7,1,9,2,0.9375
"org.jkiss.dbeaver.ui.editors.entity.EntityEditorsRegistry",97,9,9,28,9,3,3,5,7,0.7678571428571428
"org.jkiss.dbeaver.ext.postgresql.ui.PostgreCreateSchemaDialog",97,8,5,5,25,9,1,11,4,0.7857142857142857
